lambda	absorbtion
1853	1.16E+01
1854	1.18E+01
1855	1.21E+01
1856	1.23E+01
1857	1.27E+01
1858	1.30E+01
1859	1.33E+01
1860	1.38E+01
1861	1.41E+01
1862	1.48E+01
1863	1.53E+01
1864	1.59E+01
1865	1.64E+01
1866	1.71E+01
1867	1.77E+01
1868	1.85E+01
1869	1.93E+01
1870	2.05E+01
1871	2.15E+01
1872	2.25E+01
1873	2.37E+01
1874	2.48E+01
1875	2.62E+01
1876	2.75E+01
1877	2.97E+01
1878	3.14E+01
1879	3.32E+01
1880	3.50E+01
1881	3.73E+01
1882	3.93E+01
1883	4.27E+01
1884	4.53E+01
1885	4.79E+01
1886	5.06E+01
1887	5.36E+01
1888	5.76E+01
1889	6.09E+01
1890	6.40E+01
1891	6.72E+01
1892	7.06E+01
1893	7.50E+01
1894	7.84E+01
1895	8.16E+01
1896	8.47E+01
1897	8.75E+01
1898	9.19E+01
1899	9.46E+01
1900	9.72E+01
1901	1.00E+02
1902	1.03E+02
1903	1.06E+02
1904	1.08E+02
1905	1.10E+02
1906	1.12E+02
1907	1.14E+02
1908	1.16E+02
1909	1.17E+02
1910	1.19E+02
1911	1.20E+02
1912	1.22E+02
1913	1.23E+02
1914	1.24E+02
1915	1.25E+02
1916	1.26E+02
1917	1.27E+02
1918	1.28E+02
1919	1.28E+02
1920	1.29E+02
1921	1.29E+02
1922	1.30E+02
1923	1.30E+02
1924	1.30E+02
1925	1.30E+02
1926	1.31E+02
1927	1.31E+02
1928	1.31E+02
1929	1.31E+02
1930	1.30E+02
1931	1.30E+02
1932	1.30E+02
1933	1.30E+02
1934	1.29E+02
1935	1.29E+02
1936	1.28E+02
1937	1.28E+02
1938	1.27E+02
1939	1.26E+02
1940	1.26E+02
1941	1.25E+02
1942	1.24E+02
1943	1.23E+02
1944	1.22E+02
1945	1.22E+02
1946	1.21E+02
1947	1.20E+02
1948	1.19E+02
1949	1.18E+02
1950	1.17E+02
1951	1.16E+02
1952	1.15E+02
1953	1.14E+02
1954	1.13E+02
1955	1.12E+02
1956	1.11E+02
1957	1.10E+02
1958	1.09E+02
1959	1.08E+02
1960	1.07E+02
1961	1.06E+02
1962	1.04E+02
1963	1.04E+02
1964	1.02E+02
1965	1.01E+02
1966	1.01E+02
1967	9.93E+01
1968	9.83E+01
1969	9.71E+01
1970	9.63E+01
1971	9.49E+01
1972	9.41E+01
1973	9.34E+01
1974	9.21E+01
1975	9.12E+01
1976	9.01E+01
1977	8.93E+01
1978	8.80E+01
1979	8.73E+01
1980	8.61E+01
1981	8.53E+01
1982	8.46E+01
1983	8.34E+01
1984	8.26E+01
1985	8.15E+01
1986	8.08E+01
1987	7.97E+01
1988	7.90E+01
1989	7.80E+01
1990	7.72E+01
1991	7.63E+01
1992	7.56E+01
1993	7.46E+01
1994	7.39E+01
1995	7.30E+01
1996	7.23E+01
1997	7.14E+01
1998	7.08E+01
1999	6.99E+01
2000	6.92E+01
2001	6.87E+01
2002	6.78E+01
2003	6.69E+01
2004	6.63E+01
2005	6.55E+01
2006	6.49E+01
2007	6.41E+01
2008	6.36E+01
2009	6.28E+01
2010	6.23E+01
2011	6.16E+01
2012	6.10E+01
2013	6.03E+01
2014	5.98E+01
2015	5.91E+01
2016	5.86E+01
2017	5.79E+01
2018	5.75E+01
2019	5.68E+01
2020	5.63E+01
2021	5.57E+01
2022	5.50E+01
2023	5.46E+01
2024	5.40E+01
2025	5.36E+01
2026	5.29E+01
2027	5.26E+01
2028	5.20E+01
2029	5.14E+01
2030	5.10E+01
2031	5.05E+01
2032	5.01E+01
2033	4.95E+01
2034	4.91E+01
2035	4.86E+01
2036	4.81E+01
2037	4.77E+01
2038	4.72E+01
2039	4.69E+01
2040	4.64E+01
2041	4.58E+01
2042	4.55E+01
2043	4.50E+01
2044	4.47E+01
2045	4.43E+01
2046	4.38E+01
2047	4.35E+01
2048	4.30E+01
2049	4.27E+01
2050	4.23E+01
2051	4.19E+01
2052	4.15E+01
2053	4.11E+01
2054	4.07E+01
2055	4.05E+01
2056	4.00E+01
2057	3.98E+01
2058	3.93E+01
2059	3.89E+01
2060	3.87E+01
2061	3.83E+01
2062	3.79E+01
2063	3.76E+01
2064	3.73E+01
2065	3.69E+01
2066	3.66E+01
2067	3.63E+01
2068	3.59E+01
2069	3.57E+01
2070	3.54E+01
2071	3.50E+01
2072	3.48E+01
2073	3.45E+01
2074	3.41E+01
2075	3.39E+01
2076	3.36E+01
2077	3.33E+01
2078	3.31E+01
2079	3.28E+01
2080	3.25E+01
2081	3.23E+01
2082	3.20E+01
2083	3.17E+01
2084	3.15E+01
2085	3.13E+01
2086	3.10E+01
2087	3.07E+01
2088	3.05E+01
2089	3.03E+01
2090	3.00E+01
2091	2.98E+01
2092	2.96E+01
2093	2.93E+01
2094	2.91E+01
2095	2.89E+01
2096	2.86E+01
2097	2.84E+01
2098	2.82E+01
2099	2.80E+01
2100	2.78E+01
2101	2.75E+01
2102	2.74E+01
2103	2.71E+01
2104	2.69E+01
2105	2.67E+01
2106	2.66E+01
2107	2.64E+01
2108	2.62E+01
2109	2.60E+01
2110	2.58E+01
2111	2.56E+01
2112	2.55E+01
2113	2.53E+01
2114	2.52E+01
2115	2.50E+01
2116	2.49E+01
2117	2.47E+01
2118	2.46E+01
2119	2.44E+01
2120	2.42E+01
2121	2.40E+01
2122	2.39E+01
2123	2.37E+01
2124	2.36E+01
2125	2.34E+01
2126	2.33E+01
2127	2.32E+01
2128	2.30E+01
2129	2.29E+01
2130	2.28E+01
2131	2.26E+01
2132	2.25E+01
2133	2.24E+01
2134	2.23E+01
2135	2.21E+01
2136	2.20E+01
2137	2.19E+01
2138	2.18E+01
2139	2.17E+01
2140	2.16E+01
2141	2.15E+01
2142	2.14E+01
2143	2.13E+01
2144	2.12E+01
2145	2.11E+01
2146	2.10E+01
2147	2.09E+01
2148	2.09E+01
2149	2.08E+01
2150	2.07E+01
2151	2.06E+01
2152	2.05E+01
2153	2.04E+01
2154	2.03E+01
2155	2.03E+01
2156	2.02E+01
2157	2.01E+01
2158	2.00E+01
2159	1.99E+01
2160	1.99E+01
2161	1.98E+01
2162	1.98E+01
2163	1.97E+01
2164	1.96E+01
2165	1.96E+01
2166	1.95E+01
2167	1.95E+01
2168	1.94E+01
2169	1.94E+01
2170	1.93E+01
2171	1.93E+01
2172	1.92E+01
2173	1.92E+01
2174	1.91E+01
2175	1.91E+01
2176	1.90E+01
2177	1.90E+01
2178	1.90E+01
2179	1.89E+01
2180	1.88E+01
2181	1.88E+01
2182	1.87E+01
2183	1.87E+01
2184	1.87E+01
2185	1.86E+01
2186	1.86E+01
2187	1.85E+01
2188	1.85E+01
2189	1.84E+01
2190	1.84E+01
2191	1.84E+01
2192	1.84E+01
2193	1.84E+01
2194	1.84E+01
2195	1.84E+01
2196	1.84E+01
2197	1.84E+01
2198	1.84E+01
2199	1.84E+01
2200	1.83E+01
2201	1.83E+01
2202	1.83E+01
2203	1.83E+01
2204	1.83E+01
2205	1.83E+01
2206	1.83E+01
2207	1.83E+01
2208	1.83E+01
2209	1.83E+01
2210	1.83E+01
2211	1.83E+01
2212	1.83E+01
2213	1.83E+01
2214	1.83E+01
2215	1.83E+01
2216	1.83E+01
2217	1.84E+01
2218	1.84E+01
2219	1.84E+01
2220	1.84E+01
2221	1.84E+01
2222	1.84E+01
2223	1.84E+01
2224	1.84E+01
2225	1.84E+01
2226	1.85E+01
2227	1.85E+01
2228	1.85E+01
2229	1.85E+01
2230	1.86E+01
2231	1.86E+01
2232	1.86E+01
2233	1.86E+01
2234	1.86E+01
2235	1.87E+01
2236	1.87E+01
2237	1.88E+01
2238	1.88E+01
2239	1.88E+01
2240	1.89E+01
2241	1.89E+01
2242	1.90E+01
2243	1.90E+01
2244	1.91E+01
2245	1.91E+01
2246	1.92E+01
2247	1.92E+01
2248	1.93E+01
2249	1.93E+01
2250	1.94E+01
2251	1.95E+01
2252	1.95E+01
2253	1.96E+01
2254	1.97E+01
2255	1.97E+01
2256	1.98E+01
2257	1.99E+01
2258	1.99E+01
2259	2.00E+01
2260	2.00E+01
2261	2.01E+01
2262	2.02E+01
2263	2.03E+01
2264	2.04E+01
2265	2.05E+01
2266	2.05E+01
2267	2.06E+01
2268	2.07E+01
2269	2.08E+01
2270	2.09E+01
2271	2.09E+01
2272	2.10E+01
2273	2.11E+01
2274	2.13E+01
2275	2.14E+01
2276	2.14E+01
2277	2.15E+01
2278	2.16E+01
2279	2.17E+01
2280	2.18E+01
2281	2.19E+01
2282	2.20E+01
2283	2.21E+01
2284	2.22E+01
2285	2.23E+01
2286	2.24E+01
2287	2.26E+01
2288	2.28E+01
2289	2.29E+01
2290	2.30E+01
2291	2.31E+01
2292	2.33E+01
2293	2.34E+01
2294	2.35E+01
2295	2.36E+01
2296	2.38E+01
2297	2.39E+01
2298	2.41E+01
2299	2.42E+01
2300	2.43E+01
2301	2.44E+01
2302	2.46E+01
2303	2.47E+01
2304	2.49E+01
2305	2.49E+01
2306	2.52E+01
2307	2.53E+01
2308	2.55E+01
2309	2.56E+01
2310	2.58E+01
2311	2.59E+01
2312	2.61E+01
2313	2.62E+01
2314	2.65E+01
2315	2.66E+01
2316	2.68E+01
2317	2.69E+01
2318	2.71E+01
2319	2.73E+01
2320	2.74E+01
2321	2.76E+01
2322	2.79E+01
2323	2.80E+01
2324	2.82E+01
2325	2.84E+01
2326	2.86E+01
2327	2.87E+01
2328	2.90E+01
2329	2.92E+01
2330	2.93E+01
2331	2.95E+01
2332	2.97E+01
2333	2.99E+01
2334	3.00E+01
2335	3.04E+01
2336	3.05E+01
2337	3.07E+01
2338	3.09E+01
2339	3.11E+01
2340	3.14E+01
2341	3.16E+01
2342	3.18E+01
2343	3.20E+01
2344	3.22E+01
2345	3.24E+01
2346	3.27E+01
2347	3.29E+01
2348	3.31E+01
2349	3.33E+01
2350	3.35E+01
2351	3.39E+01
2352	3.40E+01
2353	3.43E+01
2354	3.45E+01
2355	3.47E+01
2356	3.49E+01
2357	3.53E+01
2358	3.55E+01
2359	3.57E+01
2360	3.59E+01
2361	3.61E+01
2362	3.66E+01
2363	3.68E+01
2364	3.70E+01
2365	3.72E+01
2366	3.76E+01
2367	3.78E+01
2368	3.80E+01
2369	3.83E+01
2370	3.85E+01
2371	3.89E+01
2372	3.91E+01
2373	3.94E+01
2374	3.96E+01
2375	4.01E+01
2376	4.02E+01
2377	4.05E+01
2378	4.08E+01
2379	4.10E+01
2380	4.15E+01
2381	4.17E+01
2382	4.20E+01
2383	4.22E+01
2384	4.27E+01
2385	4.29E+01
2386	4.32E+01
2387	4.34E+01
2388	4.39E+01
2389	4.41E+01
2390	4.44E+01
2391	4.46E+01
2392	4.51E+01
2393	4.54E+01
2394	4.56E+01
2395	4.59E+01
2396	4.64E+01
2397	4.66E+01
2398	4.69E+01
2399	4.71E+01
2400	4.76E+01
2401	4.79E+01
2402	4.82E+01
2403	4.84E+01
2404	4.89E+01
2405	4.92E+01
2406	4.94E+01
2407	5.00E+01
2408	5.02E+01
2409	5.05E+01
2410	5.08E+01
2411	5.13E+01
2412	5.16E+01
2413	5.19E+01
2414	5.25E+01
2415	5.28E+01
2416	5.31E+01
2417	5.34E+01
2418	5.40E+01
2419	5.43E+01
2420	5.46E+01
2421	5.52E+01
2422	5.55E+01
2423	5.59E+01
2424	5.62E+01
2425	5.69E+01
2426	5.71E+01
2427	5.75E+01
2428	5.81E+01
2429	5.84E+01
2430	5.88E+01
2431	5.95E+01
2432	5.98E+01
2433	6.01E+01
2434	6.04E+01
2435	6.11E+01
2436	6.15E+01
2437	6.18E+01
2438	6.25E+01
2439	6.29E+01
2440	6.32E+01
2441	6.39E+01
2442	6.43E+01
2443	6.46E+01
2444	6.54E+01
2445	6.57E+01
2446	6.61E+01
2447	6.68E+01
2448	6.73E+01
2449	6.76E+01
2450	6.84E+01
2451	6.88E+01
2452	6.92E+01
2453	7.01E+01
2454	7.05E+01
2455	7.08E+01
2456	7.17E+01
2457	7.21E+01
2458	7.25E+01
2459	7.34E+01
2460	7.38E+01
2461	7.42E+01
2462	7.51E+01
2463	7.55E+01
2464	7.59E+01
2465	7.68E+01
2466	7.72E+01
2467	7.80E+01
2468	7.84E+01
2469	7.88E+01
2470	7.97E+01
2471	8.00E+01
2472	8.05E+01
2473	8.14E+01
2474	8.17E+01
2475	8.22E+01
2476	8.30E+01
2477	8.34E+01
2478	8.42E+01
2479	8.47E+01
2480	8.51E+01
2481	8.58E+01
2482	8.62E+01
2483	8.64E+01
2484	8.71E+01
2485	8.76E+01
2486	8.88E+01
2487	8.90E+01
2488	8.95E+01
2489	9.05E+01
2490	9.09E+01
2491	9.13E+01
2492	9.20E+01
2493	9.24E+01
2494	9.31E+01
2495	9.33E+01
2496	9.36E+01
2497	9.42E+01
2498	9.45E+01
2499	9.50E+01
2500	9.53E+01
