lambda	absorbtion
754	2.75E-02
755	2.75E-02
756	2.75E-02
757	2.76E-02
758	2.76E-02
759	2.77E-02
760	2.77E-02
761	2.77E-02
762	2.77E-02
763	2.77E-02
764	2.77E-02
765	2.77E-02
766	2.77E-02
767	2.77E-02
768	2.76E-02
769	2.76E-02
770	2.75E-02
771	2.75E-02
772	2.75E-02
773	2.74E-02
774	2.73E-02
775	2.72E-02
776	2.71E-02
777	2.70E-02
778	2.69E-02
779	2.67E-02
780	2.66E-02
781	2.65E-02
782	2.63E-02
783	2.62E-02
784	2.61E-02
785	2.59E-02
786	2.56E-02
787	2.52E-02
788	2.51E-02
789	2.50E-02
790	2.47E-02
791	2.45E-02
792	2.41E-02
793	2.39E-02
794	2.37E-02
795	2.36E-02
796	2.34E-02
797	2.32E-02
798	2.30E-02
799	2.28E-02
800	2.25E-02
801	2.24E-02
802	2.24E-02
803	2.22E-02
804	2.20E-02
805	2.20E-02
806	2.20E-02
807	2.20E-02
808	2.18E-02
809	2.19E-02
810	2.19E-02
811	2.19E-02
812	2.20E-02
813	2.21E-02
814	2.22E-02
815	2.23E-02
816	2.25E-02
817	2.28E-02
818	2.30E-02
819	2.31E-02
820	2.33E-02
821	2.39E-02
822	2.45E-02
823	2.48E-02
824	2.52E-02
825	2.62E-02
826	2.77E-02
827	2.83E-02
828	2.91E-02
829	3.11E-02
830	3.21E-02
831	3.30E-02
832	3.46E-02
833	3.61E-02
834	3.66E-02
835	3.70E-02
836	3.79E-02
837	3.83E-02
838	3.85E-02
839	3.91E-02
840	3.95E-02
841	3.97E-02
842	4.00E-02
843	4.04E-02
844	4.06E-02
845	4.08E-02
846	4.11E-02
847	4.13E-02
848	4.15E-02
849	4.20E-02
850	4.20E-02
851	4.22E-02
852	4.25E-02
853	4.27E-02
854	4.28E-02
855	4.31E-02
856	4.36E-02
857	4.37E-02
858	4.38E-02
859	4.43E-02
860	4.45E-02
861	4.47E-02
862	4.50E-02
863	4.53E-02
864	4.55E-02
865	4.61E-02
866	4.66E-02
867	4.69E-02
868	4.71E-02
869	4.71E-02
870	4.75E-02
871	4.83E-02
872	4.87E-02
873	4.89E-02
874	4.96E-02
875	5.01E-02
876	5.05E-02
877	5.12E-02
878	5.15E-02
879	5.20E-02
880	5.30E-02
881	5.35E-02
882	5.39E-02
883	5.46E-02
884	5.53E-02
885	5.57E-02
886	5.60E-02
887	5.65E-02
888	5.75E-02
889	5.79E-02
890	5.83E-02
891	5.92E-02
892	5.98E-02
893	6.01E-02
894	6.04E-02
895	6.09E-02
896	6.19E-02
897	6.23E-02
898	6.27E-02
899	6.36E-02
900	6.41E-02
901	6.46E-02
902	6.56E-02
903	6.64E-02
904	6.67E-02
905	6.70E-02
906	6.77E-02
907	6.90E-02
908	6.99E-02
909	7.04E-02
910	7.08E-02
911	7.19E-02
912	7.36E-02
913	7.49E-02
914	7.56E-02
915	7.63E-02
916	7.79E-02
917	8.09E-02
918	8.29E-02
919	8.41E-02
920	8.53E-02
921	8.80E-02
922	9.27E-02
923	9.58E-02
924	9.82E-02
925	1.01E-01
926	1.04E-01
927	1.07E-01
928	1.11E-01
929	1.19E-01
930	1.25E-01
931	1.28E-01
932	1.33E-01
933	1.37E-01
934	1.41E-01
935	1.46E-01
936	1.56E-01
937	1.64E-01
938	1.69E-01
939	1.73E-01
940	1.82E-01
941	1.96E-01
942	2.05E-01
943	2.11E-01
944	2.19E-01
945	2.29E-01
946	2.39E-01
947	2.47E-01
948	2.54E-01
949	2.70E-01
950	2.98E-01
951	3.15E-01
952	3.27E-01
953	3.44E-01
954	3.62E-01
955	3.79E-01
956	3.93E-01
957	4.07E-01
958	4.18E-01
959	4.27E-01
960	4.39E-01
961	4.54E-01
962	4.61E-01
963	4.63E-01
964	4.66E-01
965	4.70E-01
966	4.73E-01
967	4.76E-01
968	4.77E-01
969	4.78E-01
970	4.80E-01
971	4.81E-01
972	4.83E-01
973	4.84E-01
974	4.86E-01
975	4.87E-01
976	4.87E-01
977	4.86E-01
978	4.86E-01
979	4.84E-01
980	4.82E-01
981	4.80E-01
982	4.79E-01
983	4.76E-01
984	4.74E-01
985	4.71E-01
986	4.68E-01
987	4.64E-01
988	4.60E-01
989	4.57E-01
990	4.53E-01
991	4.48E-01
992	4.43E-01
993	4.40E-01
994	4.36E-01
995	4.32E-01
996	4.26E-01
997	4.21E-01
998	4.17E-01
999	4.12E-01
1000	4.07E-01
1001	4.02E-01
1002	3.96E-01
1003	3.92E-01
1004	3.87E-01
1005	3.82E-01
1006	3.76E-01
1007	3.70E-01
1008	3.64E-01
1009	3.58E-01
1010	3.52E-01
1011	3.46E-01
1012	3.40E-01
1013	3.35E-01
1014	3.30E-01
1015	3.24E-01
1016	3.19E-01
1017	3.14E-01
1018	3.09E-01
1019	3.02E-01
1020	2.96E-01
1021	2.90E-01
1022	2.84E-01
1023	2.78E-01
1024	2.72E-01
1025	2.67E-01
1026	2.62E-01
1027	2.57E-01
1028	2.51E-01
1029	2.44E-01
1030	2.39E-01
1031	2.36E-01
1032	2.33E-01
1033	2.30E-01
1034	2.25E-01
1035	2.20E-01
1036	2.15E-01
1037	2.11E-01
1038	2.06E-01
1039	2.02E-01
1040	1.98E-01
1041	1.94E-01
1042	1.90E-01
1043	1.87E-01
1044	1.84E-01
1045	1.82E-01
1046	1.79E-01
1047	1.75E-01
1048	1.72E-01
1049	1.69E-01
1050	1.66E-01
1051	1.64E-01
1052	1.61E-01
1053	1.59E-01
1054	1.56E-01
1055	1.54E-01
1056	1.53E-01
1057	1.52E-01
1058	1.51E-01
1059	1.49E-01
1060	1.47E-01
1061	1.46E-01
1062	1.45E-01
1063	1.44E-01
1064	1.44E-01
1065	1.43E-01
1066	1.43E-01
1067	1.42E-01
1068	1.41E-01
1069	1.41E-01
1070	1.41E-01
1071	1.41E-01
1072	1.41E-01
1073	1.41E-01
1074	1.41E-01
1075	1.41E-01
1076	1.43E-01
1077	1.43E-01
1078	1.44E-01
1079	1.44E-01
1080	1.44E-01
1081	1.46E-01
1082	1.47E-01
1083	1.50E-01
1084	1.52E-01
1085	1.53E-01
1086	1.55E-01
1087	1.56E-01
1088	1.58E-01
1089	1.60E-01
1090	1.63E-01
1091	1.66E-01
1092	1.68E-01
1093	1.69E-01
1094	1.71E-01
1095	1.74E-01
1096	1.78E-01
1097	1.82E-01
1098	1.87E-01
1099	1.89E-01
1100	1.91E-01
1101	1.93E-01
1102	1.97E-01
1103	2.01E-01
1104	2.03E-01
1105	2.05E-01
1106	2.08E-01
1107	2.12E-01
1108	2.17E-01
1109	2.20E-01
1110	2.22E-01
1111	2.25E-01
1112	2.30E-01
1113	2.34E-01
1114	2.35E-01
1115	2.34E-01
1116	2.35E-01
1117	2.40E-01
1118	2.45E-01
1119	2.49E-01
1120	2.53E-01
1121	2.58E-01
1122	2.65E-01
1123	2.72E-01
1124	2.77E-01
1125	2.81E-01
1126	2.89E-01
1127	3.02E-01
1128	3.16E-01
1129	3.27E-01
1130	3.38E-01
1131	3.53E-01
1132	3.77E-01
1133	4.04E-01
1134	4.28E-01
1135	4.50E-01
1136	4.71E-01
1137	4.93E-01
1138	5.20E-01
1139	5.57E-01
1140	6.05E-01
1141	6.52E-01
1142	6.86E-01
1143	7.16E-01
1144	7.53E-01
1145	8.06E-01
1146	8.60E-01
1147	8.98E-01
1148	9.25E-01
1149	9.49E-01
1150	9.77E-01
1151	1.01E+00
1152	1.04E+00
1153	1.07E+00
1154	1.10E+00
1155	1.12E+00
1156	1.13E+00
1157	1.14E+00
1158	1.15E+00
1159	1.16E+00
1160	1.17E+00
1161	1.18E+00
1162	1.19E+00
1163	1.19E+00
1164	1.20E+00
1165	1.20E+00
1166	1.20E+00
1167	1.20E+00
1168	1.21E+00
1169	1.21E+00
1170	1.21E+00
1171	1.21E+00
1172	1.22E+00
1173	1.23E+00
1174	1.23E+00
1175	1.23E+00
1176	1.23E+00
1177	1.23E+00
1178	1.23E+00
1179	1.24E+00
1180	1.24E+00
1181	1.24E+00
1182	1.24E+00
1183	1.25E+00
1184	1.25E+00
1185	1.26E+00
1186	1.26E+00
1187	1.26E+00
1188	1.26E+00
1189	1.26E+00
1190	1.27E+00
1191	1.27E+00
1192	1.27E+00
1193	1.27E+00
