# Wavelength_nm	Reflectance
9.520000000000000000e+02	3.604302994857069287e-01
9.610000000000000000e+02	3.488651046840530179e-01
9.690000000000000000e+02	3.451923610587563362e-01
9.770000000000000000e+02	3.447590958364387115e-01
9.850000000000000000e+02	3.464407556327135929e-01
9.050000000000000000e+02	3.866111322770606762e-01
9.140000000000000000e+02	3.858432524364339145e-01
9.240000000000000000e+02	3.837802831887597854e-01
9.340000000000000000e+02	3.792583932189994567e-01
9.440000000000000000e+02	3.709846950883861072e-01
9.540000000000000000e+02	3.575676310993454177e-01
9.650000000000000000e+02	3.468104056017585202e-01
9.750000000000000000e+02	3.448622754319924377e-01
9.860000000000000000e+02	3.469151507140090795e-01
9.960000000000000000e+02	3.508471722335119725e-01
1.007000000000000000e+03	3.570294832638663540e-01
1.018000000000000000e+03	3.649720160844004968e-01
1.029000000000000000e+03	3.713142348905679735e-01
1.040000000000000000e+03	3.760286942378053832e-01
1.051000000000000000e+03	3.796100002128282580e-01
1.063000000000000000e+03	3.817344083033468172e-01
1.074000000000000000e+03	3.821480552807420827e-01
1.085000000000000000e+03	3.810402246406287552e-01
1.097000000000000000e+03	3.782535000392638902e-01
1.109000000000000000e+03	3.745567033199474483e-01
1.120000000000000000e+03	3.699666221609724803e-01
1.132000000000000000e+03	3.548729853605962492e-01
1.144000000000000000e+03	3.213398150137021791e-01
1.155000000000000000e+03	2.945357874715479052e-01
1.167000000000000000e+03	2.846535024387282231e-01
1.179000000000000000e+03	2.818505789588601762e-01
1.191000000000000000e+03	2.798912572686584332e-01
1.203000000000000000e+03	2.799091572744773493e-01
1.215000000000000000e+03	2.819851992744324964e-01
1.227000000000000000e+03	2.845584623890110576e-01
1.239000000000000000e+03	2.870283615620629059e-01
1.251000000000000000e+03	2.893530648696965302e-01
1.263000000000000000e+03	2.905281441855481761e-01
1.275000000000000000e+03	2.886996454795660583e-01
1.287000000000000000e+03	2.828783411021943417e-01
1.299000000000000000e+03	2.730136080729007042e-01
1.311000000000000000e+03	2.572927841709822805e-01
1.323000000000000000e+03	2.360205462041902458e-01
1.335000000000000000e+03	2.117677572926191243e-01
1.347000000000000000e+03	1.887674370486637776e-01
1.359000000000000000e+03	1.692387385757837814e-01
1.370000000000000000e+03	1.476145883485695254e-01
1.382000000000000000e+03	1.073113032559835783e-01
1.394000000000000000e+03	6.364541137807662452e-02
1.406000000000000000e+03	3.857389526654591422e-02
1.418000000000000000e+03	2.888880959095390180e-02
1.430000000000000000e+03	2.534719034126027906e-02
1.441000000000000000e+03	2.412440281164078548e-02
1.453000000000000000e+03	2.397807212633339818e-02
1.465000000000000000e+03	2.512517236691897554e-02
1.476000000000000000e+03	2.780179858798586048e-02
1.488000000000000000e+03	3.218656497612183004e-02
1.499000000000000000e+03	3.746562510821675740e-02
1.511000000000000000e+03	4.432399511527081171e-02
1.522000000000000000e+03	5.141711204994553475e-02
1.534000000000000000e+03	5.973643475339263792e-02
1.545000000000000000e+03	6.772251191667057191e-02
1.556000000000000000e+03	7.545632298127756543e-02
1.568000000000000000e+03	8.334761793865717860e-02
1.579000000000000000e+03	9.041135144064504914e-02
1.590000000000000000e+03	9.723198991623197007e-02
1.601000000000000000e+03	1.034304952393102217e-01
1.612000000000000000e+03	1.084962983881293114e-01
1.623000000000000000e+03	1.128815464166629673e-01
1.634000000000000000e+03	1.165186675339683481e-01
1.645000000000000000e+03	1.195616610632954657e-01
1.656000000000000000e+03	1.216123094111861841e-01
1.667000000000000000e+03	1.221953895789568284e-01
1.678000000000000000e+03	1.221477378301227962e-01
1.689000000000000000e+03	1.211360166542246874e-01
1.699000000000000000e+03	1.193614785564206388e-01
1.710000000000000000e+03	1.161975187256771153e-01
1.721000000000000000e+03	1.124672480487248494e-01
1.731000000000000000e+03	1.086743669070118490e-01
1.742000000000000000e+03	1.037018411140773616e-01
1.752000000000000000e+03	9.803708927308001086e-02
1.762000000000000000e+03	9.221355002678709167e-02
1.773000000000000000e+03	8.759443530354198149e-02
1.783000000000000000e+03	8.511294360479450261e-02
1.793000000000000000e+03	8.381954468423709337e-02
1.804000000000000000e+03	8.394692534201927958e-02
1.814000000000000000e+03	8.377250563000727956e-02
1.824000000000000000e+03	8.292857076704958363e-02
1.834000000000000000e+03	8.011683491863894058e-02
1.844000000000000000e+03	7.383377345351367638e-02
1.854000000000000000e+03	6.309874736136077134e-02
1.864000000000000000e+03	4.669915318601314952e-02
1.874000000000000000e+03	2.824448446036176633e-02
1.884000000000000000e+03	1.541524706659846110e-02
1.893000000000000000e+03	1.104748526465271913e-02
1.903000000000000000e+03	1.019298572674249073e-02
1.913000000000000000e+03	1.005131797071857729e-02
1.922000000000000000e+03	9.904622059976176882e-03
1.932000000000000000e+03	9.751990008864225637e-03
1.942000000000000000e+03	9.678437597396684008e-03
1.951000000000000000e+03	9.657998169065125718e-03
1.961000000000000000e+03	9.673909992954745837e-03
1.970000000000000000e+03	9.725606742357220322e-03
1.979000000000000000e+03	9.836505306355953354e-03
1.989000000000000000e+03	1.004091448770271303e-02
1.998000000000000000e+03	1.029972240645035328e-02
2.007000000000000000e+03	1.068982351261639832e-02
2.016000000000000000e+03	1.118817631867135079e-02
2.026000000000000000e+03	1.186275790457758279e-02
2.035000000000000000e+03	1.259042045718327014e-02
2.044000000000000000e+03	1.347322282137197909e-02
2.053000000000000000e+03	1.441820216560110897e-02
2.062000000000000000e+03	1.550150702144236989e-02
2.071000000000000000e+03	1.674764279874755082e-02
2.080000000000000000e+03	1.808627182383093154e-02
2.089000000000000000e+03	1.953861066320336862e-02
2.098000000000000000e+03	2.109067741450703498e-02
2.106000000000000000e+03	2.251755353670968282e-02
