wavelength	P1	P2	P3	P4	P5	P6	P7	P8	P9
406	0.012152514	0.016771808	0.010243911	0.012997607	0.009021395	0.007765476	0.01143872	0.011794076	0.009907568
407	0.012258956	0.016929809	0.010356109	0.013142079	0.009117219	0.007847103	0.011551165	0.011898881	0.010005379
408	0.012358937	0.01708991	0.010469818	0.013297336	0.009209238	0.007936362	0.01167575	0.012016154	0.01010208
409	0.012469726	0.017249641	0.010582535	0.013455259	0.009300198	0.008028123	0.011805541	0.012142358	0.010203061
410	0.012612042	0.017414758	0.010703386	0.013604336	0.009405028	0.008121078	0.011936318	0.012272372	0.010314912
411	0.012750423	0.017594081	0.010823664	0.013760909	0.009519418	0.008224831	0.012071959	0.012410261	0.010430397
412	0.012892339	0.017783856	0.010945007	0.013922794	0.009636419	0.008342262	0.01221131	0.012557373	0.010545431
413	0.013049544	0.017977899	0.011075979	0.014082521	0.00975638	0.008466962	0.0123555	0.012708996	0.010656743
414	0.013207767	0.018169615	0.011214974	0.014242497	0.009880176	0.008582198	0.012502036	0.012858288	0.01077263
415	0.013366222	0.018364796	0.011351538	0.014402302	0.01000642	0.008693639	0.01265288	0.013007899	0.010894917
416	0.013526034	0.018562498	0.011485125	0.014566711	0.010132691	0.008812015	0.012810023	0.013156347	0.01102009
417	0.013687863	0.018759863	0.011622579	0.014736815	0.010261769	0.008940594	0.012969444	0.013301178	0.011146469
418	0.013847088	0.018958952	0.011757316	0.014909298	0.010387866	0.009069188	0.013128759	0.013445091	0.011275092
419	0.01400903	0.019156929	0.011891199	0.015084376	0.01051092	0.009194559	0.013287477	0.013591148	0.011410705
420	0.014169444	0.019345334	0.012020051	0.015258622	0.010633676	0.009313991	0.013442532	0.013736147	0.011546098
421	0.014320899	0.019527099	0.012145834	0.01543219	0.010754118	0.009429683	0.013593966	0.013874943	0.011676412
422	0.014464428	0.019714155	0.012273944	0.015601367	0.010872103	0.009545794	0.01373641	0.014006094	0.011799195
423	0.014600616	0.019910467	0.012403313	0.015768431	0.010990185	0.009666054	0.013873551	0.014130826	0.011912113
424	0.01473906	0.020099034	0.012523093	0.015935058	0.01110231	0.009788828	0.014010443	0.014251381	0.012018123
425	0.014872249	0.020276043	0.012638728	0.016094068	0.011208299	0.009906324	0.014147069	0.014371425	0.012118772
426	0.014994514	0.020441623	0.012752864	0.016245886	0.011310692	0.010013038	0.014281649	0.014489391	0.012216007
427	0.015114737	0.020596588	0.012860901	0.016392428	0.011408746	0.010112755	0.014408609	0.014604012	0.012314914
