"Rrs_400","Rrs_412","Rrs_443","Rrs_490","Rrs_510","Rrs_560","Rrs_620","Rrs_665","Rrs_755","Rrs_778","Rrs_865","SumRrs"
0.0379079442703943,0.0430190246941043,0.0591698675691326,0.0948331523009258,0.113453481672643,0.17502235075,0.201634558703452,0.1827498825395,0.0366785033218798,0.0393273815180946,0.0162038526598586,0.00295286846991692
0.0278625792921039,0.0316500256508151,0.0436897781122095,0.0693195226531743,0.0830788108271994,0.131901836503264,0.201613141227779,0.252165086895785,0.0631782592742824,0.0675840931707266,0.0279568663926572,0.00112322239242275
0.029969899843266,0.0326630408263252,0.0420475852823938,0.0651297026696609,0.0749905715533385,0.103692111792456,0.127295343959747,0.134794643570919,0.129375312923866,0.135194687188275,0.124847100389763,0.0919196320137292
0.0424825535348181,0.0462343353174047,0.0593267804009801,0.0920024185095791,0.105918536802225,0.144625962593946,0.161730896338044,0.155311634896531,0.0733158486910099,0.0786306747671903,0.0404203581482446,0.062009101231484
0.0759410038414205,0.0816158584759805,0.101055441086533,0.157335696340732,0.178632577599834,0.209637960720771,0.101244698021729,0.0642577588123375,0.0119842845092541,0.0128932918777837,0.0054014287136141,0.0139044798544343
0.0880379365143041,0.0957602079914048,0.11994680232702,0.183594427035525,0.195093983582697,0.190439698806635,0.0684679590940324,0.0414912148252984,0.00683286320149784,0.00732571044113558,0.00300919618045587,0.00958377691621495
0.0463054713999841,0.0402066062479706,0.0347247145935117,0.0472682081046897,0.0715573967843191,0.124309748389088,0.0705612533323367,0.0410119830216438,0.216527055226879,0.216856932084706,0.0906706308148479,0.000829770398447088
0.0456792189616596,0.0401440248127958,0.0393881229513767,0.0529718758904406,0.0628885597602083,0.0645656472394165,0.121910173524304,0.0615382956913176,0.209762586939308,0.210643714738255,0.0905077794909181,0.000929648960943261
0.122581070212586,0.124453524406725,0.134669143471641,0.177865595725896,0.1801502785981,0.157697139511003,0.0559423456595558,0.0330167898409298,0.00545393218913677,0.00582798004517799,0.00234220033925626,0.00626473102505715
0.16098456434864,0.155031049223732,0.150642647359781,0.176340774037799,0.16382406340314,0.121295671071815,0.0398312672223222,0.0229049377363846,0.00367487998422529,0.00391576506994177,0.00155438054222767,0.00615250652816244
0.191987611424337,0.192692317372409,0.19111321112549,0.186740566954193,0.1332452657442,0.0743898248315214,0.0169216808986361,0.00956608556063826,0.00135731555061085,0.00143017970809876,0.000555940829881735,0.00951063375309182
0.201552600208816,0.207516194410936,0.2081409365022,0.18483987555202,0.117089806278508,0.0589305275435547,0.0125761485528105,0.00701282755246646,0.000953779316141494,0.0010051153699921,0.000382188712537265,0.0108107097572059
0.234283237915378,0.232687584231163,0.214580173104338,0.16275041131315,0.0942675560106375,0.045207053149038,0.0092930134120348,0.00514853782960471,0.000728225830784449,0.000762018663586335,0.000292188540285379,0.0128856203468383
